12	6	2	23	27	30	59	83																													
13	4	17	29	69	101																															
14	2	34	39																																	
15	4	6	7	11	108																															
16	11	5	8	28	33	87	91	92	94	95	102	117																								
17	2	44	70																																	
18	4	16	49	54	126																															
4	18																																			
1	7	36	48	68	80	114	119	127																												
2	2	26	45																																	
3	5	29	52	86	101	115																														
4	9	1	8	53	54	64	70	75	117	122																										
5	15	5	22	33	44	60	62	65	77	84	85	93	99	123	131	133																				
6	1	66																																		
7	10	15	18	24	57	76	94	97	112	120	125																									
8	15	3	9	11	19	25	28	30	56	78	79	91	98	108	111	130																				
9	7	27	40	49	51	72	92	110																												
10	7	12	42	67	82	83	90	132																												
11	13	14	21	23	35	47	73	74	81	88	96	103	106	121																						
12	9	6	32	41	46	55	71	105	124	126																										
13	11	2	7	17	37	59	63	87	89	95	100	116																								
14	1	34																																		
15	8	4	39	43	50	58	118	128	129																											
16	1	61																																		
17	2	38	102																																	
18	10	10	13	16	20	31	69	104	107	109	113																									
5	18																																			
1	3	78	128	130																																
2	8	2	8	23	40	67	74	100	101																											
3	8	17	30	31	34	61	79	109	116																											
4	6	13	15	75	91	96	118																													
5	25	5	16	18	20	29	41	42	45	48	50	53	55	65	66	69	82	97	102	104	106	112	113	117	121	129										
6	4	14	27	28	126																															
7	4	1	51	92	94																															
8	5	10	26	37	122	125																														
9	7	7	9	52	59	60	110	120																												
10	6	3	6	19	39	76	114																													
11	2	68	111																																	
12	9	38	46	64	83	90	93	107	119	127																										
13	6	44	49	58	63	87	132																													
14	25	4	12	21	22	25	32	33	43	54	62	71	73	77	81	84	85	98	99	103	105	115	123	124	131	133										
15	5	35	36	72	86	89																														
16	2	57	95																																	
17	3	11	70	88																																
18	5	24	47	56	80	108																														
6	18																																			
1	4	26	34	65	113																															
2	7	3	69	79	88	118	119	130																												
3	1	78																																		
4	6	2	9	38	49	80	97																													
5	11	7	40	46	47	51	68	70	94	121	126	133																								
6	8	10	60	91	100	108	116	117	122																											
7	3	11	45	57																																
8	2	37	87																																	
9	12	1	15	29	31	41	59	77	109	120	125	129	132																							
10	9	14	42	82	86	101	106	110	114	127																										
11	4	5	48	102	128																															
12	7	19	23	27	33	35	74	83																												
13	6	6	8	13	56	95	111																													
14	26	4	12	21	22	25	32	39	43	50	54	62	71	73	76	81	84	85	96	98	99	103	105	115	123	124	131									
15	4	17	28	52	92																															
16	6	16	44	58	64	93	104																													
17	11	18	20	30	53	55	61	75	89	90	107	112																								
18	6	24	36	63	66	67	72																													
7	18																																			
1	1	74																																		
2	2	24	119																																	
3	8	22	34	51	85	115	116	127	133																											
4	13	13	23	27	40	58	60	70	75	94	96	110	114	126																						
5	1	44																																		
6	4	2	86	88	93																															
7	35	1	5	10	15	16	20	29	31	33	41	42	45	48	50	53	55	57	61	64	65	69	72	77	82	97	102	104	106	107	109	112	113	117	121	122
8	10	9	26	28	37	49	59	66	67	79	125																									
9	8	14	25	32	78	89	90	95	123																											
10	2	7	120																																	
11	2	11	63																																	
12	14	6	8	35	39	46	47	68	76	83	84	92	101	118	128																					
13	7	3	19	80	91	100	105	130																												
14	5	17	21	81	111	131																														
15	2	129	132																																	
16	5	12	18	38	52	108																														
17	6	30	56	71	73	98	99																													
18	8	4	36	43	54	62	87	103	124																											
8	18																																			
1	8	6	15	18	66	81	90	107	127																											
2	8	10	24	40	41	74	76	89	101																											
3	3	5	55	77																																
4	24	3	7	17	19	25	26	28	30	34	37	38	56	59	63	67	78	87	91	95	98	100	108	111	130											
5	7	4	13	27	31	84	123	133																												
6	6	12	14	21	51	57	125																													
7	3	79	80	116																																
8	1	45																																		
9	4	36	54	112	132																															
10	8	39	53	64	65	68	82	106	129																											
11	8	29	35	47	49	58	70	72	88																											
12	12	20	22	32	43	52	62	71	99	103	105	115	124																							
13	4	8	85	86	97																															
14	9	1	33	42	104	109	113	117	121	122																										
15	5	83	92	114	119	128																														
16	8	2	46	48	69	73	93	118	131																											
17	4	9	11	75	102																															
18	11	16	23	44	50	60	61	94	96	110	120	126																								
9	18																																			
1	3	2	51	111																																
2	10	4	5	21	81	84	91	98	99	105	124																									
3	3	38	62	96																																
4	2	7	125																																	
5	3	24	74	128																																
6	1	17																																		
7	8	8	30	47	73	108	110	116	131																											
8	2	54	72																																	
9	8	14	22	34	67	70	88	95	130																											
10	3	1	25	119																																
11	5	6	19	40	75	115																														
12	4	80	118	123	133																															
13	34	15	18	20	29	31	33	36	41	42	44	45	48	50	53	57	61	64	65	69	77	82	97	102	104	106	107	109	112	113	117	121	122	127	129	
14	18	27	35	39	49	58	66	68	76	83	86	87	90	92	93	101	114	126	132																	
15	7	13	23	32	43	55	71	94																												
16	6	11	26	60	79	89	100																													
17	6	3	9	16	28	85	103																													
18	10	10	12	37	46	52	56	59	63	78	120																									
10	18																																			
1	1	111																																		
2	2	16	39																																	
3	5	5	15	82	104	122																														
4	25	2	3	7	9	11	17	19	25	26	28	30	37	38	52	56	58	78	79	89	91	95	100	108	116	130										
5	1	72																																		
6	2	65	121																																	
7	3	42	101	128																																
8	2	66	120																																	
9	13	35	36	40	70	74	75	88	93	94	96	110	126	129																						
10	6	48	67	98	113	119	132																													
11	17	6	8	13	23	46	47	49	51	60	68	80	83	86	90	92	114	118																		
12	2	34	87																																	
13	24	4	12	21	22	24	32	43	54	62	63	64	71	73	76	81	84	99	103	105	115	123	124	131	133											
14	2	27	41																																	
15	7	1	20	44	50	69	117	127																												
16	4	33	107	112	125																															
17	3	14	59	85																																
18	14	10	18	29	31	45	53	55	57	61	77	97	102	106	109																					
11	18																																			
1	7	46	48	61	64	90	112	129																												
2	2	94	101																																	
3	7	10	27	32	58	62	84	133																												
4	1	1																																		
5	2	15	33																																	
6	2	2	106																																	
7	12	6	23	36	39	47	68	75	80	86	92	93	114																							
8	14	20	31	41	50	57	65	66	69	77	104	109	113	122	127																					
9	8	21	22	37	71	82	110	117	126																											
10	8	5	18	29	44	45	55	102	121																											
11	3	35	43	53																																
12	9	14	70	76	85	91	96	120	125	132																										
13	1	59																																		
14	11	8	12	51	54	60	100	103	105	115	118	124																								
15	12	13	24	49	72	74	81	88	99	119	123	128	131																							
16	27	3	7	9	11	17	19	25	26	28	30	34	38	42	52	56	63	67	78	79	87	89	97	98	108	111	116	130								
17	6	4	16	40	73	83	107																													
18	1	95																																		
12	18																																			
1	9	5	8	44	47	58	100	110	113	132																										
2	4	18	27	49	55																															
3	23	3	4	10	12	14	21	22	38	62	69	71	73	74	81	84	85	91	103	105	115	124	131	133												
4	4	1	30	48	125																															
5	2	50	65																																	
6	12	6	20	46	51	63	76	83	92	98	99	126	128																							
7	5	86	101	112	114	122																														
8	8	9	13	35	36	40	75	94	129																											
9	13	7	19	25	56	59	67	77	78	88	90	104	111	127																						
10	2	24	34																																	
11	3	43	72	119																																
12	1	102																																		
13	9	2	15	28	32	53	54	95	97	108																										
14	7	11	26	37	64	70	79	123																												
15	9	29	31	41	42	45	61	82	107	109																										
16	9	57	60	80	87	89	96	117	118	130																										
17	7	16	17	23	39	66	93	106																												
18	6	33	52	68	116	120	121																													
13	18																																			
1	1	114																																		
2	5	13	27	35	46	49																														
3	3	57	86	94																																
4	15	17	18	21	34	42	50	53	55	58	71	91	97	107	113	115																				
5	9	7	30	38	56	63	78	79	83	127																										
6	16	6	36	40	68	70	72	75	90	92	96	101	110	118	119	120	128																			
7	13	15	22	33	43	52	54	73	85	87	99	123	131	133																						
8	9	23	24	47	51	74	76	88	126	132																										
9	8	5	8	16	39	45	89	103	121																											
10	6	25	37	44	66	104	124																													
11	5	11	26	80	108	111																														
12	4	19	61	67	98																															
13	3	3	84	112																																
14	11	9	10	31	48	62	77	95	106	116	117	130																								
15	3	93	102	109																																
16	4	28	32	41	60																															
17	12	2	4	12	14	29	59	64	65	81	100	105	125																							
18	6	1	20	69	82	122	129																													
14	18																																			
1	10	7	11	30	38	48	52	63	84	116	120																									
2	5	3	12	22	88	95																														
3	7	21	56	73	81	105	123	131																												
4	33	6	8	13	23	24	27	35	36	39	47	49	51	58	60	68	72	74	75	76	80	86	90	92	94	96	101	110	114	118	119	126	128	132		
5	2	42	83																																	
6	2	124	133																																	
7	3	40	43	85																																
8	14	10	18	31	33	41	45	55	61	77	97	102	113	121	122																					
9	3	106	112	127																																
10	11	2	34	46	65	69	70	78	79	87	108	111																								
11	7	9	28	67	89	91	98	103																												
12	5	17	37	59	66	130																														
13	1	53																																		
14	1	25																																		
15	15	1	5	15	16	20	29	44	50	64	82	104	107	109	117	125																				
16	1	129																																		
17	5	14	19	26	93	100																														
18	8	4	32	54	57	62	71	99	115																											
15	18																																			
1	11	6	32	36	51	55	68	73	85	107	120	131																								
2	1	125																																		
3	8	14	30	33	40	63	64	71	106																											
4	13	2	11	19	26	28	34	54	59	78	79	95	100	108																						
5	8	24	45	50	56	72	83	88	105																											
6	7	8	25	61	66	82	113	119																												
7	8	3	5	7	10	17	29	58	81																											
8	1	9																																		
9	6	18	38	47	53	90	102																													
10	9	37	65	89	91	99	101	122	130	132																										
11	7	1	20	31	42	57	109	112																												
12	4	52	84	93	115																															
13	9	4	27	80	94	98	104	123	124	133																										
14	14	13	16	39	60	74	75	76	86	92	96	114	118	126	128																					
15	1	87																																		
16	7	15	23	35	46	77	116	117																												
17	12	12	21	43	48	49	62	67	70	103	110	111	127																							
18	7	22	41	44	69	97	121	129																												
16	18																																			
1	1	102																																		
2	11	11	22	25	26	34	38	43	52	54	81	133																								
3	4	41	67	104	106																															
4	4	19	89	95	131																															
5	6	3	28	32	56	62	71																													
6	15	1	5	15	29	31	44	57	61	65	97	107	113	121	122	127																				
7	12	16	42	50	53	66	69	77	82	109	112	125	129																							
8	32	6	8	13	23	24	27	35	36	39	40	47	51	60	72	74	76	80	83	86	88	92	93	96	101	105	110	114	118	119	126	128	132			
9	5	14	70	99	100	123																														
10	4	4	7	63	94																															
11	4	18	49	108	124																															
12	10	30	48	55	64	68	75	79	91	120	130																									
13	6	12	17	59	85	90	116																													
14	2	58	98																																	
15	1	87																																		
16	7	2	37	46	73	84	103	115																												
17	4	9	21	78	111																															
18	5	10	20	33	45	117																														
17	18																																			
1	35	4	6	8	13	24	27	35	36	40	46	47	49	51	58	60	61	68	70	74	75	76	80	83	86	88	90	93	94	96	101	118	119	126	128	132
2	1	72																																		
3	11	12	14	22	32	56	71	73	103	105	124	133																								
4	6	45	53	63	69	82	127																													
5	8	1	9	26	28	50	87	89	117																											
6	8	5	10	17	62	85	102	107	113																											
7	2	66	122																																	
8	6	15	48	64	77	84	98																													
9	4	30	34	41	121																															
10	9	3	7	11	16	38	55	91	108	129																										
11	2	19	92																																	
12	7	21	25	54	81	99	123	131																												
13	2	42	78																																	
14	9	29	39	44	65	97	106	109	125	130																										
15	8	2	37	52	67	79	95	100	104																											
16	5	18	20	31	59	111																														
17	4	110	114	115	120																															
18	6	23	33	43	57	112	116																													
18	18																																			
1	5	27	39	71	86	96																														
2	2	7	46																																	
3	6	34	90	98	101	118	120																													
4	7	2	6	23	26	47	68	132																												
5	2	18	127																																	
6	5	24	72	88	92	129																														
7	5	38	70	74	75	126																														
8	8	17	28	43	52	81	91	99	125																											
9	4	19	35	76	133																															
10	10	9	30	41	67	79	87	100	108	111	116																									
11	7	13	60	63	69	93	119	130																												
12	8	3	4	25	49	51	56	83	89																											
13	3	40	80	109																																
14	4	8	36	37	110																															
15	2	94	128																																	
16	32	1	5	10	15	16	20	29	31	33	42	44	45	48	50	53	55	57	61	65	66	77	82	97	102	104	106	107	112	113	117	121	122			
17	19	12	14	21	32	54	58	62	64	73	78	84	85	95	103	105	115	123	124	131																
18	4	11	22	59	114																															
19	18																																			
1	10	5	13	31	36	51	74	77	101	107	120																									
2	6	39	40	68	72	90	100																													
3	11	10	19	24	55	76	82	113	114	118	122	128																								
4	2	18	94																																	
5	6	6	70	80	83	92	133																													
6	7	9	16	37	50	61	88	125																												
7	5	47	48	49	65	71																														
8	1	79																																		
9	9	25	45	58	75	87	89	99	117	132																										
10	2	38	127																																	
11	8	1	15	42	53	66	106	109	129																											
12	10	3	11	28	30	57	63	95	98	116	130																									
13	3	2	26	56																																
14	23	4	12	14	21	22	32	43	54	62	67	73	81	84	85	103	104	105	108	115	119	123	124	131												
15	5	27	64	91	112	126																														
16	5	29	44	69	78	111																														
17	5	7	34	52	96	102																														
18	15	8	17	20	23	33	35	41	46	59	60	86	93	97	110	121																				
20	18																																			
1	8	77	79	82	102	109	112	113	117																											
2	5	5	16	50	69	86																														
3	4	12	22	64	73																															
4	8	14	21	41	57	75	103	104	105																											
5	2	125	127																																	
6	5	20	29	48	65	120																														
7	1	46																																		
8	35	4	6	8	13	23	24	27	35	36	39	40	42	47	49	51	58	60	68	70	72	74	76	83	88	90	92	93	94	101	108	110	114	119	123	132
9	4	33	80	124	133																															
10	3	17	44	118																																
11	5	2	11	30	84	98																														
12	5	15	37	45	53	111																														
13	2	10	66																																	
14	6	18	31	85	106	121	122																													
15	4	32	71	81	99																															
16	3	61	62	96																																
17	10	1	43	54	55	107	115	126	128	129	131																									
18	23	3	7	9	19	25	26	28	34	38	52	56	59	63	67	78	87	89	91	95	97	100	116	130												
