133	20																											
1	30																											
21	10	18	51	60	74	80	94	101	120	126	128																	
22	10	5	31	44	45	50	61	65	106	109	117																	
23	3	15	69	89																								
24	1	64																										
25	4	35	39	72	75																							
26	3	11	19	59																								
27	6	1	41	53	112	121	122																					
28	2	87	116																									
29	9	3	13	24	27	43	83	113	119	133																		
30	2	9	37																									
12	30																											
1	6	1	41	108	114	120	126																					
2	1	3																										
3	7	2	7	15	63	102	103	119																				
4	5	17	46	48	78	123																						
5	1	125																										
6	3	53	61	95																								
7	4	23	39	59	72																							
8	4	52	66	96	100																							
9	4	5	55	60	129																							
10	2	54	97																									
11	6	20	33	45	47	98	110																					
12	3	56	75	121																								
13	1	105																										
14	6	28	80	86	92	101	118																					
15	3	10	106	109																								
16	8	16	18	44	65	69	82	117	122																			
17	3	58	93	104																								
18	20	4	12	14	21	22	32	43	51	62	71	73	81	84	85	91	99	115	124	131	133							
19	2	67	113																									
20	1	30																										
21	7	9	57	68	70	74	89	127																				
22	2	40	79																									
23	2	13	31																									
24	5	35	42	77	107	128																						
25	4	6	27	64	94																							
26	1	88																										
27	1	36																										
28	6	19	24	50	76	90	132																					
29	4	8	34	49	83																							
30	11	11	25	26	29	37	38	87	111	112	116	130																
13	30																											
1	2	53	106																									
2	6	27	36	49	76	87	132																					
3	7	3	21	63	85	89	111	116																				
4	3	67	115	118																								
5	2	54	59																									
6	7	16	20	55	77	102	109	117																				
7	4	18	31	44	104																							
8	2	1	84																									
9	6	29	33	48	97	122	127																					
10	1	12																										
11	5	22	81	103	124	133																						
12	7	23	46	58	70	88	110	128																				
13	13	8	13	35	47	51	60	68	72	75	86	114	120	126														
14	3	50	64	69																								
15	1	40																										
16	9	5	41	42	57	61	65	107	112	113																		
17	9	25	30	45	56	79	93	101	125	130																		
18	3	4	9	62																								
19	6	7	10	14	52	80	123																					
20	4	17	28	71	95																							
21	5	39	83	92	96	119																						
22	7	2	15	34	91	98	105	131																				
23	4	94	108	121	129																							
24	2	11	82																									
25	2	37	78																									
26	3	26	38	43																								
27	1	66																										
28	4	6	19	90	100																							
29	4	24	32	73	99																							
30	1	74																										
14	30																											
1	2	17	61																									
2	7	20	40	57	80	106	120	125																				
3	1	124																										
4	5	5	31	34	42	74																						
5	9	11	19	35	68	86	100	115	127	128																		
6	7	56	60	64	83	112	119	122																				
7	3	14	54	123																								
8	4	13	93	110	132																							
9	8	6	10	16	26	30	50	97	104																			
10	3	4	73	131																								
11	3	36	52	78																								
12	3	25	66	113																								
13	7	24	46	88	91	92	111	126																				
14	2	89	129																									
15	2	27	29																									
16	3	8	98	107																								
17	3	38	77	117																								
18	8	1	2	41	44	55	95	101	114																			
19	3	21	76	94																								
20	5	32	62	67	103	105																						
21	4	39	69	84	130																							
22	7	18	33	45	53	81	109	121																				
23	1	58																										
24	2	12	43																									
25	4	7	9	65	90																							
26	7	3	23	48	70	72	102	116																				
27	6	28	37	63	79	87	108																					
28	4	15	47	51	59																							
29	4	71	82	99	133																							
30	6	22	49	75	85	96	118																					
15	30																											
1	7	13	46	70	76	83	88	119																				
2	7	45	50	54	84	87	97	121																				
3	5	6	90	126	128	132																						
4	1	89																										
5	7	5	62	69	71	105	117	133																				
6	4	38	73	98	118																							
7	5	2	7	61	85	129																						
8	4	15	39	55	111																							
9	6	1	19	67	91	115	125																					
10	2	64	127																									
11	4	16	31	95	112																							
12	4	20	27	42	65																							
13	8	10	18	22	37	47	99	110	120																			
14	2	26	104																									
15	5	21	100	108	122	130																						
16	1	66																										
17	2	44	102																									
18	9	4	17	30	32	48	53	56	77	107																		
19	1	59																										
20	2	35	63																									
21	5	9	28	29	57	81																						
22	13	8	36	40	51	58	68	72	74	75	82	86	94	101														
23	7	3	11	25	52	79	113	116																				
24	6	23	24	43	60	80	93																					
25	2	92	114																									
26	3	41	123	131																								
27	4	14	49	103	124																							
28	3	33	96	106																								
29	3	12	34	78																								
30	1	109																										
16	30																											
1	5	77	111	112	125	129																						
2	11	4	5	11	51	64	66	68	71	75	110	132																
3	2	10	44																									
4	4	29	92	116	122																							
5	4	60	80	88	101																							
6	6	20	26	34	72	100	108																					
7	6	31	48	50	53	107	109																					
8	1	45																										
9	2	56	61																									
10	5	8	36	40	82	97																						
11	8	1	13	57	65	76	96	113	117																			
12	4	39	74	83	104																							
13	1	52																										
14	10	2	3	17	19	25	37	63	67	79	130																	
15	1	33																										
16	1	121																										
17	6	6	12	30	41	49	89																					
18	1	91																										
19	4	14	32	115	128																							
20	2	27	93																									
21	4	22	70	90	114																							
22	8	46	47	58	78	87	98	102	124																			
23	6	15	18	43	54	99	123																					
24	3	69	95	106																								
25	3	9	35	85																								
26	7	24	28	55	59	103	127	131																				
27	4	16	38	42	118																							
28	4	21	84	105	126																							
29	6	23	62	73	81	94	133																					
30	4	7	86	119	120																							
17	30																											
1	9	6	10	31	32	47	93	112	113	114																		
2	3	17	33	125																								
3	4	71	97	98	129																							
4	4	36	51	64	94																							
5	13	27	34	39	46	49	68	72	74	92	118	120	126	127														
6	6	13	21	22	84	95	110																					
7	3	12	78	90																								
8	5	50	77	111	119	132																						
9	2	29	79																									
10	2	58	81																									
11	3	38	88	103																								
12	1	102																										
13	3	86	122	123																								
14	10	14	54	55	62	69	70	85	89	96	131																	
15	5	7	18	59	75	124																						
16	1	3																										
17	3	15	53	107																								
18	4	1	16	26	45																							
19	5	23	67	80	116	121																						
20	5	11	30	56	100	115																						
21	5	4	20	28	42	104																						
22	2	60	82																									
23	1	8																										
24	3	24	57	106																								
25	4	35	76	101	105																							
26	5	41	44	63	65	109																						
27	6	9	19	25	37	52	130																					
28	4	66	73	87	91																							
29	5	2	5	48	108	128																						
30	7	40	43	61	83	99	117	133																				
18	30																											
1	4	46	76	94	132																							
2	1	67																										
3	4	41	42	44	122																							
4	1	26																										
5	8	10	27	57	58	61	77	102	109																			
6	3	29	97	108																								
7	15	6	23	24	36	40	51	68	70	75	80	90	93	110	118	119												
8	3	14	56	91																								
9	5	16	30	31	65	106																						
10	19	4	22	32	43	54	71	73	81	82	85	99	103	105	114	115	123	124	131	133								
11	3	15	37	50																								
12	1	35																										
13	5	34	59	62	89	129																						
14	1	18																										
15	2	7	33																									
16	9	1	2	3	52	63	79	98	100	130																		
17	5	13	47	64	88	126																						
18	1	5																										
19	4	11	104	117	121																							
20	5	17	55	84	107	125																						
21	1	112																										
22	4	21	28	38	78																							
23	7	8	39	72	74	92	101	120																				
24	1	96																										
25	2	53	60																									
26	3	66	113	127																								
27	1	128																										
28	11	9	12	19	25	45	48	49	69	95	111	116																
29	2	20	87																									
30	2	83	86																									
19	30																											
1	6	27	34	36	51	55	128																					
2	1	44																										
3	2	65	117																									
4	2	12	62																									
5	3	9	105	115																								
6	2	30	107																									
7	3	72	97	100																								
8	2	113	132																									
9	3	54	81	131																								
10	1	14																										
11	4	39	80	114	118																							
12	10	2	25	56	58	76	90	93	102	110	119																	
13	27	1	5	10	15	16	18	20	29	31	33	41	42	45	50	57	61	64	66	69	82	104	106	109	121	122	125	129
14	1	112																										
15	3	53	74	77																								
16	8	11	26	47	91	95	96	111	130																			
17	2	21	22																									
18	5	60	84	98	103	133																						
19	3	38	87	92																								
20	3	49	52	123																								
21	3	23	40	116																								
22	8	6	17	63	67	70	83	89	108																			
23	3	32	43	85																								
24	2	37	86																									
25	4	4	71	73	124																							
26	4	19	88	99	101																							
27	6	24	46	59	68	79	120																					
28	2	3	13																									
29	6	8	35	75	94	126	127																					
30	4	7	28	48	78																							
20	30																											
1	1	122																										
2	10	1	16	18	39	80	112	113	118	125	129																	
3	8	13	37	46	53	63	78	121	133																			
4	4	12	28	103	114																							
5	1	19																										
6	4	56	60	85	97																							
7	4	9	41	90	127																							
8	3	55	57	100																								
9	8	32	35	38	77	88	91	101	104																			
10	3	5	44	119																								
11	3	40	47	126																								
12	6	3	51	66	68	109	116																					
13	1	2																										
14	2	61	102																									
15	1	33																										
16	6	11	15	27	67	74	92																					
17	8	52	54	58	81	84	86	89	124																			
18	4	17	50	82	110																							
19	4	20	45	64	94																							
20	1	130																										
21	3	62	99	107																								
22	4	21	26	31	42																							
23	9	29	65	71	96	98	108	111	115	132																		
24	5	10	69	70	83	87																						
25	4	30	73	93	106																							
26	5	7	25	59	79	95																						
27	7	6	34	43	75	76	120	131																				
28	3	8	49	117																								
29	7	4	14	24	36	48	105	128																				
30	4	22	23	72	123																							
