25	5	14	18	53	76	124																									
4	25																														
1	3	9	84	125																											
2	1	52																													
3	2	89	131																												
4	8	10	20	44	48	63	66	116	122																						
5	1	88																													
6	7	1	3	26	28	29	54	81																							
7	10	8	36	69	72	80	101	114	118	119	132																				
8	7	15	16	31	49	53	57	82																							
9	5	7	19	67	79	90																									
10	4	18	78	103	129																										
11	2	6	25																												
12	3	30	32	97																											
13	4	17	22	104	109																										
14	1	55																													
15	4	2	37	86	87																										
16	21	13	23	27	33	34	39	46	47	51	58	60	68	70	74	76	83	92	94	110	120	126									
17	3	45	75	133																											
18	4	11	42	56	113																										
19	5	35	61	111	121	130																									
20	6	21	43	50	77	106	115																								
21	7	12	14	41	62	73	95	124																							
22	4	4	5	85	117																										
23	6	24	40	93	96	112	127																								
24	8	59	64	65	71	99	100	105	123																						
25	7	38	91	98	102	107	108	128																							
5	25																														
1	8	12	13	22	23	24	58	75	99																						
2	3	55	82	112																											
3	6	17	36	37	40	47	101																								
4	2	76	100																												
5	7	26	32	39	71	72	86	124																							
6	7	19	25	94	108	110	119	128																							
7	1	8																													
8	30	1	5	10	15	16	20	29	31	41	42	44	48	50	57	61	64	65	66	77	97	102	104	109	113	117	121	122	125	127	129
9	2	46	91																												
10	2	35	60																												
11	1	90																													
12	10	3	9	28	52	69	89	98	107	111	116																				
13	3	67	131	133																											
14	5	11	95	96	130	132																									
15	7	33	43	54	56	103	114	115																							
16	4	45	59	123	126																										
17	2	106	120																												
18	2	7	38																												
19	2	49	68																												
20	3	27	83	93																											
21	1	79																													
22	3	18	80	118																											
23	6	4	51	70	73	78	88																								
24	8	14	21	30	53	63	74	81	84																						
25	8	2	6	34	62	85	87	92	105																						
6	25																														
1	1	1																													
2	5	8	20	27	64	89																									
3	5	6	30	53	62	74																									
4	4	4	39	106	118																										
5	5	38	65	75	91	113																									
6	12	12	19	32	41	44	49	77	79	84	94	103	123																		
7	7	33	36	71	93	97	107	126																							
8	5	18	80	105	112	114																									
9	9	15	42	55	57	61	66	102	104	121																					
10	6	22	54	85	88	99	133																								
11	1	29																													
12	9	7	28	56	59	63	87	95	98	108																					
13	3	60	101	130																											
14	1	3																													
15	8	9	11	14	34	45	100	122	125																						
16	3	24	83	129																											
17	8	10	13	21	31	46	51	67	110																						
18	6	2	5	25	82	127	132																								
19	4	37	52	96	120																										
20	4	70	72	81	131																										
21	4	48	69	109	117																										
22	9	16	17	50	68	78	115	116	119	124																					
23	7	35	40	47	86	90	92	128																							
24	5	23	43	58	73	111																									
25	2	26	76																												
7	25																														
1	4	2	29	117	129																										
2	4	13	70	89	107																										
3	2	77	86																												
4	6	60	76	83	102	111	114																								
5	3	31	82	109																											
6	1	79																													
7	10	6	12	14	22	43	51	62	88	108	133																				
8	5	4	21	35	69	118																									
9	6	18	48	73	110	115	119																								
10	9	3	19	30	34	37	59	67	100	116																					
11	4	25	32	71	94																										
12	7	23	40	96	103	104	106	123																							
13	8	7	55	64	80	84	85	91	101																						
14	2	74	127																												
15	7	11	28	45	46	72	93	98																							
16	7	1	9	33	66	97	122	125																							
17	7	17	38	41	50	53	113	121																							
18	9	8	27	44	54	90	105	112	120	132																					
19	6	24	26	42	49	65	87																								
20	2	61	130																												
21	7	36	39	52	63	68	75	92																							
22	4	5	15	16	128																										
23	8	10	20	47	58	81	95	124	131																						
24	1	126																													
25	4	56	57	78	99																										
8	25																														
1	4	3	7	17	19																										
2	5	10	30	48	87	125																									
3	3	18	63	64																											
4	4	29	68	82	95																										
5	8	47	89	91	96	102	111	116	117																						
6	5	9	21	49	65	129																									
7	5	46	57	62	99	124																									
8	3	26	27	37																											
9	11	14	15	16	25	61	69	71	74	80	107	115																			
10	1	70																													
11	9	5	35	43	77	81	100	128	130	133																					
12	5	58	66	72	84	123																									
13	4	38	41	88	93																										
14	4	33	44	104	109																										
15	5	52	105	106	112	122																									
16	4	6	76	101	110																										
17	7	4	36	51	73	97	119	131																							
18	2	32	85																												
19	3	42	79	126																											
20	2	1	2																												
21	4	12	56	60	67																										
22	10	13	20	22	23	50	55	90	103	127	132																				
23	7	11	28	34	45	59	78	108																							
24	8	24	53	54	86	94	98	113	121																						
25	10	8	31	39	40	75	83	92	114	118	120																				
9	25																														
1	10	10	14	15	45	65	80	83	86	100	128																				
2	1	31																													
3	8	1	8	19	59	61	62	75	131																						
4	9	26	28	57	66	73	116	121	123	133																					
5	5	18	64	109	122	129																									
6	8	4	48	97	110	115	117	118	126																						
7	11	11	13	23	36	39	41	60	69	87	90	127																			
8	2	16	37																												
9	7	20	50	52	63	71	84	101																							
10	7	3	29	30	38	78	79	89																							
11	5	51	105	107	113	124																									
12	4	46	47	68	74																										
13	6	24	53	58	92	114	132																								
14	6	22	27	54	93	99	125																								
15	8	9	21	33	44	49	76	85	112																						
16	4	2	25	40	98																										
17	1	6																													
18	6	5	42	67	104	106	108																								
19	2	43	88																												
20	4	17	55	77	95																										
21	6	7	12	35	81	96	119																								
22	3	32	72	103																											
23	4	70	91	102	111																										
24	4	56	82	120	130																										
25	2	34	94																												
10	25																														
1	2	14	34																												
2	2	27	43																												
3	4	3	55	66	71																										
4	4	6	35	64	108																										
5	11	12	13	46	63	72	90	94	97	118	128	133																			
6	1	67																													
7	3	31	120	126																											
8	2	37	52																												
9	8	16	17	20	36	60	80	81	113																						
10	7	18	19	26	47	88	112	125																							
11	9	8	23	25	44	87	91	99	116	131																					
12	2	24	93																												
13	4	2	79	107	127																										
14	9	40	59	73	75	82	85	95	129	132																					
15	4	21	96	119	122																										
16	3	42	76	111																											
17	11	4	32	54	62	68	74	103	105	110	115	123																			
18	1	89																													
19	17	5	9	10	15	29	33	41	45	48	57	65	69	102	106	109	117	121													
20	1	22																													
21	4	51	56	84	100																										
22	3	7	58	124																											
23	2	28	50																												
24	15	1	11	30	38	49	53	61	77	78	83	86	98	104	114	130															
25	4	39	70	92	101																										
11	25																														
1	6	4	6	47	90	93	114																								
2	14	10	39	45	58	61	68	75	77	94	97	99	101	124	133																
3	4	28	48	74	86																										
4	3	43	49	73																											
5	2	46	119																												
6	5	31	36	54	66	115																									
7	1	41																													
8	2	18	79																												
9	1	125																													
10	1	111																													
11	13	1	24	29	32	33	57	60	65	69	70	72	83	102																	
12	2	50	51																												
13	2	81	96																												
14	4	76	80	92	118																										
15	28	2	3	7	9	11	17	19	25	26	30	34	37	38	52	56	59	63	67	78	87	89	91	95	98	100	108	116	130		
16	4	23	40	64	122																										
17	4	14	42	71	105																										
18	7	20	55	109	113	117	127	132																							
19	6	16	22	88	110	112	120																								
20	3	15	53	107																											
21	3	62	121	123																											
22	3	5	44	82																											
23	5	35	84	85	104	129																									
24	3	12	21	103																											
25	7	8	13	27	106	126	128	131																							
12	25																														
1	7	45	46	47	62	65	97	120																							
2	2	66	129																												
3	3	59	100	102																											
4	1	119																													
5	6	20	25	69	74	106	132																								
6	6	10	15	19	51	96	127																								
7	9	3	17	18	26	31	55	83	98	122																					
8	7	13	37	70	86	94	107	118																							
9	6	1	54	61	78	95	116																								
10	10	4	6	21	40	42	43	71	90	105	126																				
11	6	7	38	50	75	128	133																								
12	4	64	67	79	89																										
13	4	11	24	53	115																										
14	7	9	16	36	57	63	91	112																							
15	5	8	23	39	80	92																									
16	9	22	30	48	60	84	99	103	104	124																					
17	7	5	14	72	73	82	114	117																							
18	6	28	29	52	88	109	121																								
19	3	12	41	108																											
20	5	27	87	93	125	130																									
21	4	33	44	77	85																										
22	6	2	32	49	56	76	123																								
23	3	101	110	111																											
24	2	34	113																												
25	5	35	58	68	81	131																									
13	25																														
1	10	14	21	42	45	54	69	73	93	129	131																				
2	6	6	74	90	92	101	120																								
3	1	107																													
4	9	2	20	55	56	57	64	82	98	133																					
5	8	13	23	46	49	58	88	94	118																						
6	1	132																													
7	5	3	5	60	91	115																									
8	11	1	38	44	61	62	65	97	110	111	122	130																			
9	2	75	114																												
10	1	128																													
11	6	31	33	66	77	100	104																								
12	8	15	30	41	67	78	84	102	113																						
13	2	47	126																												
14	10	8	24	27	51	68	72	80	83	96	119																				
15	1	87																													
16	4	39	40	76	123																										
17	1	10																													
18	13	4	18	35	37	43	59	81	85	86	95	108	112	124																	
19	3	12	106	121																											
20	6	16	29	36	50	109	125																								
21	3	7	99	117																											
22	12	9	17	22	26	28	32	53	63	70	71	103	105																		
23	8	11	19	25	34	52	79	89	116																						
24	1	127																													
25	1	48																													
14	25																														
1	6	5	35	51	75	82	107																								
2	6	11	16	29	41	47	108																								
3	6	24	49	58	68	93	132																								
4	2	50	52																												
5	3	21	53	119																											
6	3	83	86	92																											
7	8	6	14	28	40	73	74	98	131																						
8	8	4	17	22	36	103	120	125	133																						
9	9	10	42	48	55	61	77	109	117	127																					
10	8	3	31	33	62	70	115	122	123																						
11	8	9	25	37	56	59	67	79	91																						
12	2	95	97																												
13	2	12	34																												
14	2	126	128																												
15	4	26	60	111	112																										
16	4	32	84	105	129																										
17	10	1	2	19	20	45	54	94	96	99	102																				
18	3	7	46	66																											
19	6	18	44	63	72	90	118																								
20	7	8	13	38	80	88	106	116																							
21	4	23	27	65	130																										
22	10	15	30	43	64	69	71	76	81	110	124																				
23	3	78	85	100																											
24	6	57	87	89	101	104	114																								
25	3	39	113	121																											
15	25																														
1	8	5	42	61	66	102	117	125	129																						
2	1	7																													
3	3	74	75	79																											
4	7	2	9	19	23	63	69	111																							
5	4	27	78	120	121																										
6	2	45	84																												
7	6	40	46	62	68	88	110																								
8	8	47	77	83	86	91	101	106	113																						
9	2	58	97																												
10	4	55	96	109	115																										
11	5	3	49	56	80	100																									
12	7	1	10	20	29	41	107	122																							
13	6	12	14	30	52	93	103																								
14	5	39	60	90	123	132																									
15	16	6	21	32	35	43	51	53	54	64	70	71	73	81	108	118	131														
16	5	11	33	82	99	133																									
17	10	8	15	34	59	65	76	94	116	124	127																				
18	7	17	25	28	37	38	67	95																							
19	3	72	92	126																											
20	2	36	128																												
21	1	105																													
22	11	4	13	16	18	24	31	48	50	85	87	98																			
23	1	26																													
24	5	22	44	57	112	119																									
25	4	89	104	114	130																										
16	25																														
1	4	14	95	109	129																										
2	6	7	34	56	59	79	116																								
3	3	1	20	125																											
4	6	26	28	50	55	78	87																								
5	5	16	21	33	43	83																									
6	3	46	60	92																											
7	5	36	49	51	89	98																									
8	5	2	45	66	86	102																									
9	4	77	107	114	133																										
10	10	13	23	42	68	76	96	108	110	127	131																				
11	5	25	70	74	106	123																									
12	10	4	18	24	38	53	85	103	104	111	124																				
13	5	5	8	11	44	62																									
14	5	29	52	65	113	120																									
15	5	9	19	39	80	91																									
16	5	10	31	54	61	126																									
17	11	12	27	30	40	57	73	88	90	105	115	117																			
18	3	17	84	99																											
19	5	35	67	82	101	121																									
20	1	3																													
21	2	37	69																												
22	8	32	47	75	100	112	119	128	130																						
23	6	6	15	41	58	93	94																								
24	3	63	64	97																											
25	8	22	48	71	72	81	118	122	132																						
17	25																														
1	7	24	29	40	52	58	63	67																							
2	10	12	14	25	34	38	47	84	91	98	99																				
3	2	7	103																												
4	1	82																													
5	9	15	31	44	45	50	53	66	107	125																					
6	4	28	32	73	123																										
7	3	69	80	129																											
8	3	30	49	55																											
9	13	8	17	26	39	46	59	78	86	87	118	124	126	128																	
10	5	19	56	83	114	116																									
11	2	3	95																												
12	2	18	61																												
13	5	11	22	51	57	110																									
14	6	2	79	97	109	111	130																								
15	3	27	92	94																											
16	8	1	10	42	102	104	106	122	127																						
17	2	100	117																												
18	6	13	23	35	76	81	101																								
19	8	6	54	62	68	72	119	120	131																						
20	2	5	20																												
21	6	43	71	74	96	115	133																								
22	10	16	33	41	48	64	65	77	112	113	121																				
23	3	4	9	93																											
24	5	37	85	89	90	105																									
25	8	21	36	60	70	75	88	108	132																						
18	25																														
1	1	46																													
2	5	6	49	62	115	124																									
3	9	9	12	34	39	52	63	76	94	114																					
4	6	8	51	58	72	93	118																								
5	15	1	10	15	20	31	33	42	50	55	65	69	82	104	109	125															
6	2	30	128																												
7	5	3	24	28	43	87																									
8	1	47																													
9	1	37																													
10	1	105																													
11	4	2	16	64	88																										
12	1	45																													
13	4	25	75	89	99																										
14	6	83	90	111	120	126	132																								
15	5	26	32	81	86	131																									
16	9	7	11	44	59	79	91	97	100	108																					
17	2	19	74																												
18	4	92	98	102	103																										
19	17	29	41	48	53	57	61	66	77	106	107	112	113	117	121	122	127	129													
20	3	27	40	80																											
21	8	4	13	54	68	73	85	123	133																						
22	2	5	18																												
23	12	21	22	35	56	67	70	71	78	84	101	116	119																		
24	8	14	17	23	38	95	96	110	130																						
25	2	36	60																												
19	25																														
1	9	3	21	24	40	76	96	105	131	132																					
2	1	63																													
3	9	5	22	26	31	61	65	77	90	120																					
4	4	6	20	39	46																										
5	7	38	45	47	86	113	115	123																							
6	5	9	13	57	99	110																									
7	8	2	70	80	88	92	114	126	128																						
8	5	17	78	79	112	129																									
9	2	53	106																												
10	5	8	23	75	107	117																									
11	3	67	82	127																											
12	3	11	30	51																											
13	2	62	84																												
14	5	32	72	95	98	130																									
15	5	7	34	52	69	87																									
16	9	1	35	60	64	71	83	91	93	100																					
17	4	41	74	89	94																										
18	5	28	44	97	111	121																									
19	6	15	36	50	102	118	122																								
20	8	4	10	18	55	58	66	101	103																						
21	6	27	43	49	68	119	125																								
22	2	25	109																												
23	7	16	19	33	48	59	85	108																							
24	6	12	29	37	54	81	116																								
25	7	14	42	56	73	104	124	133																							
20	25																														
1	1	63																													
2	8	8	23	49	76	91	92	96	129																						
3	10	9	22	38	42	44	56	83	125	126	133																				
4	4	62	71	84	122																										
5	9	12	16	26	35	61	81	85	101	116																					
6	5	52	102	103	128	131																									
7	3	19	34	64																											
8	7	17	37	40	66	89	90	127																							
9	5	6	59	86	108	113																									
10	5	36	93	110	117	119																									
11	11	1	4	31	33	45	48	57	80	106	111	118																			
12	2	13	78																												
13	8	5	21	29	39	73	99	115	123																						
14	10	3	15	25	28	30	60	67	87	95	100																				
15	2	50	58																												
16	4	7	11	54	124																										
17	1	41																													
18	2	20	53																												
19	9	27	51	55	75	77	88	104	107	120																					
20	1	2																													
21	2	24	98																												
22	2	70	114																												
23	11	10	14	43	46	47	68	69	72	74	94	105																			
24	4	18	97	109	112																										
25	7	32	65	79	82	121	130	132																							
